,legislation_number,url,congress,title,sponsor,date_of_introduction,date_submitted,committees,latest_action,bill_status,party,month,year
77,H.R. 8211,https://www.congress.gov/bill/117th-congress/house-bill/8211,117th Congress (2021-2022),"To require the return of amounts loaned under the Paycheck Protection Program of the Small Business Administration used for illegal activities, and for other purposes.","Rep. Mullin, Markwayne [R-OK-2]",2022-06-23,,House - Small Business,Referred to the House Committee on Small Business.,introduced,Reupblican,June,2022
78,H.R. 8209,https://www.congress.gov/bill/117th-congress/house-bill/8209,117th Congress (2021-2022),SOBER Act of 2022,"Rep. Johnson, Dusty [R-SD-At Large]",2022-06-23,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,June,2022
79,H.R. 8207,https://www.congress.gov/bill/117th-congress/house-bill/8207,117th Congress (2021-2022),Border Enforcement Security Task Force Reauthorization Act of 2022,"Rep. Guest, Michael [R-MS-3]",2022-06-23,,House - Homeland Security,Referred to the Subcommittee on Transportation and Maritime Security.,introduced,Reupblican,June,2022
80,H.R. 8206,https://www.congress.gov/bill/117th-congress/house-bill/8206,117th Congress (2021-2022),Stop Wrongs to Our Kids’ Educational Meals (W.O.K.E.) Act of 2022,"Rep. Grothman, Glenn [R-WI-6]",2022-06-23,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,June,2022
81,H.R. 8198,https://www.congress.gov/bill/117th-congress/house-bill/8198,117th Congress (2021-2022),Ensuring the Best Schools for Veterans Act of 2022,"Rep. Bost, Mike [R-IL-12]",2022-06-23,,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,introduced,Reupblican,June,2022
82,H.R. 8196,https://www.congress.gov/bill/117th-congress/house-bill/8196,117th Congress (2021-2022),Protecting Mothers and Babies from Terrorism Act,"Rep. Greene, Marjorie Taylor [R-GA-14]",2022-06-23,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,June,2022
83,H.R. 8195,https://www.congress.gov/bill/117th-congress/house-bill/8195,117th Congress (2021-2022),COTA Act,"Rep. Thompson, Glenn [R-PA-15]",2022-06-23,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,June,2022
84,H.R. 8194,https://www.congress.gov/bill/117th-congress/house-bill/8194,117th Congress (2021-2022),Civil Justice for Victims of International Fentanyl Trafficking Act,"Rep. Walorski, Jackie [R-IN-2]",2022-06-22,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,June,2022
85,H.R. 8193,https://www.congress.gov/bill/117th-congress/house-bill/8193,117th Congress (2021-2022),Ensuring Children Receive Support Act,"Rep. Van Duyne, Beth [R-TX-24]",2022-06-22,,"House - Ways and Means, Foreign Affairs","Referred to the Committee on Ways and Means, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,June,2022
86,H.R. 8192,https://www.congress.gov/bill/117th-congress/house-bill/8192,117th Congress (2021-2022),Ensuring Safer Schools Act of 2022,"Rep. Van Drew, Jefferson [R-NJ-2]",2022-06-22,,"House - Judiciary, Veterans' Affairs, Education and Labor","Referred to the Committee on the Judiciary, and in addition to the Committees on Veterans' Affairs, and Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,June,2022
87,H.R. 8187,https://www.congress.gov/bill/117th-congress/house-bill/8187,117th Congress (2021-2022),Mining Schools Act of 2022,"Rep. Owens, Burgess [R-UT-4]",2022-06-22,,House - Natural Resources,Referred to the House Committee on Natural Resources.,introduced,Reupblican,June,2022
88,H.R. 8183,https://www.congress.gov/bill/117th-congress/house-bill/8183,117th Congress (2021-2022),Recycling Infrastructure and Accessibility Act of 2022,"Rep. McKinley, David B. [R-WV-1]",2022-06-22,,House - Energy and Commerce,Referred to the Subcommittee on Environment and Climate Change.,introduced,Reupblican,June,2022
89,H.R. 8181,https://www.congress.gov/bill/117th-congress/house-bill/8181,117th Congress (2021-2022),Optimizing Postpartum Outcomes Act of 2022,"Rep. Herrera Beutler, Jaime [R-WA-3]",2022-06-22,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,June,2022
90,H.R. 8180,https://www.congress.gov/bill/117th-congress/house-bill/8180,117th Congress (2021-2022),"Undertaking Needed Investments in Therapy, Education, and De-Escalation Act of 2022","Rep. Gonzales, Tony [R-TX-23]",2022-06-22,,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,June,2022
91,H.R. 8179,https://www.congress.gov/bill/117th-congress/house-bill/8179,117th Congress (2021-2022),Securing Facilities for Mental Health Services Act,"Rep. Emmer, Tom [R-MN-6]",2022-06-22,,House - Financial Services,Referred to the House Committee on Financial Services.,introduced,Reupblican,June,2022
92,H.R. 8176,https://www.congress.gov/bill/117th-congress/house-bill/8176,117th Congress (2021-2022),Unleash American Drilling Act,"Rep. Budd, Ted [R-NC-13]",2022-06-22,,House - Natural Resources,Referred to the House Committee on Natural Resources.,introduced,Reupblican,June,2022
93,H.R. 8175,https://www.congress.gov/bill/117th-congress/house-bill/8175,117th Congress (2021-2022),"To amend the Controlled Substances Act to prohibit certain acts related to fentanyl, analogues of fentanyl, and counterfeit substances, and for other purposes.","Rep. Buck, Ken [R-CO-4]",2022-06-22,,"House - Judiciary, Energy and Commerce","Referred to the Committee on the Judiciary, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,June,2022
94,H.R. 8173,https://www.congress.gov/bill/117th-congress/house-bill/8173,117th Congress (2021-2022),Fourth Amendment Restoration Act,"Rep. Biggs, Andy [R-AZ-5]",2022-06-22,,"House - Judiciary, Intelligence (Permanent Select)","Referred to the Committee on the Judiciary, and in addition to the Committee on Intelligence (Permanent Select), for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,June,2022
95,H.R. 8171,https://www.congress.gov/bill/117th-congress/house-bill/8171,117th Congress (2021-2022),Protect Minors from Medical Malpractice Act of 2022,"Rep. Banks, Jim [R-IN-3]",2022-06-22,,"House - Energy and Commerce, Judiciary, Education and Labor, Natural Resources, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committees on the Judiciary, Education and Labor, Natural Resources, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,June,2022
96,H.R. 8170,https://www.congress.gov/bill/117th-congress/house-bill/8170,117th Congress (2021-2022),Empower Parents to Protect Their Kids Act of 2022,"Rep. Banks, Jim [R-IN-3]",2022-06-22,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,June,2022
97,H.R. 8169,https://www.congress.gov/bill/117th-congress/house-bill/8169,117th Congress (2021-2022),Rural Telehealth Access Task Force Act,"Rep. Pence, Greg [R-IN-6]",2022-06-22,,"House - Energy and Commerce, Agriculture",Referred to the Subcommittee on Health.,introduced,Reupblican,June,2022
98,H.R. 8168,https://www.congress.gov/bill/117th-congress/house-bill/8168,117th Congress (2021-2022),Save Our Sequoias Act,"Rep. McCarthy, Kevin [R-CA-23]",2022-06-22,,"House - Natural Resources, Agriculture","Referred to the Committee on Natural Resources, and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,June,2022
99,H.R. 8167,https://www.congress.gov/bill/117th-congress/house-bill/8167,117th Congress (2021-2022),RETURN our Constitutional Rights Act of 2022,"Rep. Clyde, Andrew S. [R-GA-9]",2022-06-22,,"House - Ways and Means, Natural Resources","Referred to the Committee on Ways and Means, and in addition to the Committee on Natural Resources, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,June,2022
100,H.R. 8160,https://www.congress.gov/bill/117th-congress/house-bill/8160,117th Congress (2021-2022),Political BIAS Emails Act of 2022,"Rep. Lesko, Debbie [R-AZ-8]",2022-06-21,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,June,2022
101,H.R. 8157,https://www.congress.gov/bill/117th-congress/house-bill/8157,117th Congress (2021-2022),Clarity Act,"Rep. Donalds, Byron [R-FL-19]",2022-06-21,,House - Oversight and Reform,Referred to the House Committee on Oversight and Reform.,introduced,Reupblican,June,2022
102,H.R. 8155,https://www.congress.gov/bill/117th-congress/house-bill/8155,117th Congress (2021-2022),Buzz Off Act,"Rep. Biggs, Andy [R-AZ-5]",2022-06-21,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,June,2022
103,H.R. 8149,https://www.congress.gov/bill/117th-congress/house-bill/8149,117th Congress (2021-2022),Residential Protest Prohibition Act of 2022,"Rep. Timmons, William R. IV [R-SC-4]",2022-06-17,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,June,2022
104,H.R. 8144,https://www.congress.gov/bill/117th-congress/house-bill/8144,117th Congress (2021-2022),Ukrainian Fighter Pilots Act,"Rep. Kinzinger, Adam [R-IL-16]",2022-06-17,,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,introduced,Reupblican,June,2022
105,H.R. 8143,https://www.congress.gov/bill/117th-congress/house-bill/8143,117th Congress (2021-2022),Lone Star Reimbursement Act,"Rep. Fallon, Pat [R-TX-4]",2022-06-17,,"House - Armed Services, Judiciary","Referred to the Committee on Armed Services, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,June,2022
106,H.R. 8142,https://www.congress.gov/bill/117th-congress/house-bill/8142,117th Congress (2021-2022),Department of Defense Law Enforcement Credential Act of 2022,"Rep. Bacon, Don [R-NE-2]",2022-06-17,,House - Armed Services,Referred to the House Committee on Armed Services.,introduced,Reupblican,June,2022
107,H.R. 8141,https://www.congress.gov/bill/117th-congress/house-bill/8141,117th Congress (2021-2022),Warrior Brain Health Act of 2022,"Rep. Bacon, Don [R-NE-2]",2022-06-17,,House - Armed Services,Referred to the House Committee on Armed Services.,introduced,Reupblican,June,2022
